,0,1,2,3
Feature 1,154.54788069073783,0.0,56.77120822622108,98.7
Feature 2,135.47252747252747,0.0,39.832904884318765,28.706363636363637
Feature 3,4.855572998430142,2.7488584474885847,19.48586118251928,7.255454545454546
Feature 4,1.4835164835164836,0.0,0.8431876606683805,3.840909090909091
Feature 5,0.0,0.0,0.9421593830334191,0.8954545454545455
Feature 6,0.0,0.0,0.09768637532133675,0.8409090909090909
Feature 7,0.0,0.0,2.2596401028277633,2.2554545454545454
Feature 8,0.0,0.0,0.24293059125964012,2.1363636363636362
Feature 9,0.3359497645211931,0.0,3.730077120822622,2.9554545454545456
Feature 10,0.08791208791208792,0.0,0.3380462724935733,2.7009090909090907
Feature 11,1308353.7880690738,804117.6191780822,5376606.789203085,2755673.7736363634
Feature 12,486866.0235478807,0.0,292868.1555269923,1584420.9763636363
Feature 13,0.0,0.0,264048.84832904884,398506.0881818182
Feature 14,0.0,0.0,32462.215938303343,382882.38545454544
Feature 15,0.0,0.0,692221.9871465296,944890.4190909091
Feature 16,0.0,0.0,77703.07969151672,900720.8781818182
Feature 17,75789.74254317112,0.0,1168829.9087403598,1217678.2445454546
Feature 18,26107.389324960754,0.0,120176.6208226221,1126730.8954545455
Feature 19,0.0,0.0,28742.778920308483,246812.4189395455
Feature 20,0.0,0.0,55131.0971507712,390274.9691932727
Feature 21,26107.389324960754,0.0,80129.65970437019,406806.41310018173
Feature 22,249651.51491365777,225383.61369863013,258407.37917737788,308738.06727272726
Feature 23,9.147566718995291,8.315981735159818,9.246786632390746,11.126363636363637
Feature 24,0.02794348508634223,0.0,3.6910060391015422,15.105628322403648
Feature 25,0.10172684458398744,0.0,8.906790172672238,15.003258053792736
Feature 26,1.3720565149136579,0.5013698630136987,2.0102827763496145,1.6445454545454545
Feature 27,0.8932496075353218,0.0,0.34061696658097684,1.1427272727272728
Feature 28,11.095761381475667,0.0,5.701799485861183,13.696363636363637
Feature 29,1.456828885400314,0.8986301369863013,2.367609254498715,1.3981818181818182
Feature 30,1.032967032967033,0.5415525114155251,0.8663239074550129,0.759090909090909
Feature 32,110804.28619268448,131731.62490123283,303143.62446334196,187359.21635793633
Feature 33,4.521193092621664,4.043835616438356,5.861182519280206,5.335454545454546
Feature 34,5.75353218210361,4.9872146118721465,9.888174807197943,7.346363636363637
Feature 35,173693.74629654625,148859.68970178085,356519.3650896787,278189.75618200906
